ID,Flu_Season,State,County,Number_Hospitals,HCP_Total_Number_Vaccinated,Total_HCP_Vaccinated,Percentage_HCP_Vaccinated,Total_Hospital_Employees_Vaccinated,Total_Hospital_Employees_Working,Percentage_Hospital_Employees_Vaccinated,Total_Number_Contractors_Vaccinated,Total_Number_Contractors_Working,Percentage_Contractors_Vaccinated,Total_Number_LIP_Vaccinated,Total_Number_LIP_Working,Percentage_LIP_Vaccinated,Total_Number_Volunteers_Vaccinated,Total_Number_Volunteers_Working,Percentage_Volunteers_Vaccinated,90%_HCP_Vaccinated
1,2021-22,California,Statewide,394,668121.0,909283.0,73.0,482505.0,650281.0,74.0,26968.0,41382.0,65.0,105835.0,147819.0,72.0,52813.0,69801.0,76.0,No
2,2021-22,California,Alameda,14,28333.0,36201.0,78.0,20263.0,26408.0,77.0,1030.0,1344.0,77.0,6027.0,7138.0,84.0,1013.0,1311.0,77.0,No
3,2021-22,California,Amador,1,502.0,677.0,74.0,297.0,435.0,68.0,21.0,26.0,81.0,167.0,199.0,84.0,17.0,17.0,100.0,No
4,2021-22,California,Butte,4,2873.0,4972.0,58.0,2035.0,3780.0,54.0,104.0,286.0,36.0,183.0,288.0,64.0,551.0,618.0,89.0,No
5,2021-22,California,Calaveras,1,355.0,425.0,84.0,244.0,311.0,78.0,11.0,13.0,85.0,79.0,80.0,99.0,21.0,21.0,100.0,No
6,2021-22,California,Colusa,1,164.0,411.0,40.0,102.0,323.0,32.0,0.0,2.0,0.0,31.0,51.0,61.0,31.0,35.0,89.0,No
7,2021-22,California,Contra Costa,8,15486.0,23760.0,65.0,10928.0,17024.0,64.0,717.0,1068.0,67.0,2640.0,4083.0,65.0,1201.0,1585.0,76.0,No
8,2021-22,California,Del Norte,1,380.0,542.0,70.0,269.0,411.0,65.0,23.0,39.0,59.0,53.0,57.0,93.0,35.0,35.0,100.0,No
9,2021-22,California,El Dorado,2,2233.0,2803.0,80.0,1887.0,2319.0,81.0,0.0,0.0,,265.0,377.0,70.0,81.0,107.0,76.0,No
10,2021-22,California,Fresno,10,19569.0,23562.0,83.0,14136.0,16592.0,85.0,126.0,261.0,48.0,2790.0,4075.0,68.0,2517.0,2634.0,96.0,No
11,2021-22,California,Glenn,1,148.0,267.0,55.0,123.0,223.0,55.0,0.0,0.0,,24.0,43.0,56.0,1.0,1.0,100.0,No
12,2021-22,California,Humboldt,5,1779.0,2724.0,65.0,1292.0,1987.0,65.0,63.0,134.0,47.0,271.0,448.0,60.0,153.0,155.0,99.0,No
13,2021-22,California,Imperial,2,1991.0,2852.0,70.0,1463.0,2065.0,71.0,165.0,172.0,96.0,159.0,399.0,40.0,204.0,216.0,94.0,No
14,2021-22,California,Inyo,2,520.0,660.0,79.0,387.0,507.0,76.0,47.0,61.0,77.0,57.0,61.0,93.0,29.0,31.0,94.0,No
15,2021-22,California,Kern,12,13054.0,16238.0,80.0,8793.0,11324.0,78.0,1074.0,1191.0,90.0,2460.0,2953.0,83.0,727.0,770.0,94.0,No
16,2021-22,California,Kings,1,1434.0,1548.0,93.0,1126.0,1214.0,93.0,0.0,0.0,,308.0,334.0,92.0,0.0,0.0,,Yes
17,2021-22,California,Lake,2,1282.0,1524.0,84.0,1004.0,1220.0,82.0,77.0,87.0,89.0,169.0,182.0,93.0,32.0,35.0,91.0,No
18,2021-22,California,Lassen,1,187.0,216.0,87.0,139.0,155.0,90.0,0.0,0.0,,48.0,61.0,79.0,0.0,0.0,,No
19,2021-22,California,Los Angeles,89,181575.0,245788.0,74.0,128646.0,168402.0,76.0,9877.0,17733.0,56.0,26679.0,37254.0,72.0,16373.0,22399.0,73.0,No
20,2021-22,California,Madera,2,887.0,1409.0,63.0,633.0,907.0,70.0,49.0,142.0,35.0,33.0,164.0,20.0,172.0,196.0,88.0,No
21,2021-22,California,Marin,4,4252.0,5013.0,85.0,3189.0,3784.0,84.0,197.0,223.0,88.0,647.0,745.0,87.0,219.0,261.0,84.0,No
22,2021-22,California,Mariposa,1,160.0,259.0,62.0,147.0,216.0,68.0,0.0,0.0,,13.0,43.0,30.0,0.0,0.0,,No
23,2021-22,California,Mendocino,3,2180.0,2326.0,94.0,1277.0,1392.0,92.0,294.0,306.0,96.0,483.0,501.0,96.0,126.0,127.0,99.0,Yes
24,2021-22,California,Merced,2,1846.0,2135.0,86.0,1493.0,1674.0,89.0,75.0,85.0,88.0,237.0,335.0,71.0,41.0,41.0,100.0,No
25,2021-22,California,Modoc,2,25.0,82.0,30.0,25.0,69.0,36.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,,No
26,2021-22,California,Mono,1,337.0,606.0,56.0,295.0,532.0,55.0,10.0,10.0,100.0,29.0,58.0,50.0,3.0,6.0,50.0,No
27,2021-22,California,Monterey,4,6159.0,8411.0,73.0,4729.0,6155.0,77.0,404.0,655.0,62.0,477.0,923.0,52.0,549.0,678.0,81.0,No
28,2021-22,California,Napa,2,2513.0,2948.0,85.0,1557.0,1851.0,84.0,194.0,236.0,82.0,490.0,585.0,84.0,272.0,276.0,99.0,No
29,2021-22,California,Nevada,2,2059.0,2560.0,80.0,1582.0,1928.0,82.0,98.0,158.0,62.0,240.0,302.0,79.0,139.0,172.0,81.0,No
30,2021-22,California,Orange,33,50449.0,69879.0,72.0,35662.0,47815.0,75.0,1853.0,2351.0,79.0,8677.0,13747.0,63.0,4257.0,5966.0,71.0,No
31,2021-22,California,Placer,3,7524.0,12262.0,61.0,5533.0,9767.0,57.0,139.0,248.0,56.0,1527.0,1815.0,84.0,325.0,432.0,75.0,No
32,2021-22,California,Plumas,3,405.0,584.0,69.0,353.0,525.0,67.0,0.0,0.0,,52.0,59.0,88.0,0.0,0.0,,No
33,2021-22,California,Riverside,20,20286.0,35324.0,57.0,15643.0,26830.0,58.0,822.0,1317.0,62.0,1842.0,4500.0,41.0,1979.0,2677.0,74.0,No
34,2021-22,California,Sacramento,10,33418.0,46622.0,72.0,26123.0,36813.0,71.0,1551.0,1839.0,84.0,3870.0,5147.0,75.0,1874.0,2823.0,66.0,No
35,2021-22,California,San Benito,1,943.0,1211.0,78.0,615.0,797.0,77.0,180.0,217.0,83.0,50.0,85.0,59.0,98.0,112.0,88.0,No
36,2021-22,California,San Bernardino,25,35095.0,52650.0,67.0,25587.0,39778.0,64.0,625.0,1318.0,47.0,6436.0,8870.0,73.0,2447.0,2684.0,91.0,No
37,2021-22,California,San Diego,22,56886.0,77079.0,74.0,43049.0,55839.0,77.0,1169.0,1429.0,82.0,8330.0,13588.0,61.0,4338.0,6223.0,70.0,No
38,2021-22,California,San Francisco,13,38511.0,45648.0,84.0,23970.0,28002.0,86.0,1396.0,1713.0,81.0,7689.0,8702.0,88.0,5456.0,7231.0,75.0,No
39,2021-22,California,San Joaquin,7,10492.0,12824.0,82.0,7512.0,9051.0,83.0,563.0,731.0,77.0,1440.0,1983.0,73.0,977.0,1059.0,92.0,No
40,2021-22,California,San Luis Obispo,4,2747.0,4588.0,60.0,1784.0,2259.0,79.0,256.0,801.0,32.0,479.0,1124.0,43.0,228.0,404.0,56.0,No
41,2021-22,California,San Mateo,6,9247.0,12426.0,74.0,6610.0,9327.0,71.0,96.0,246.0,39.0,2043.0,2307.0,89.0,498.0,546.0,91.0,No
42,2021-22,California,Santa Barbara,5,7176.0,8310.0,86.0,5042.0,6026.0,84.0,346.0,381.0,91.0,1158.0,1226.0,94.0,630.0,677.0,93.0,No
43,2021-22,California,Santa Clara,11,44290.0,61282.0,72.0,34765.0,47338.0,73.0,406.0,677.0,60.0,8044.0,11165.0,72.0,1075.0,2102.0,51.0,No
44,2021-22,California,Santa Cruz,3,2878.0,3830.0,75.0,1989.0,2578.0,77.0,203.0,270.0,75.0,557.0,853.0,65.0,129.0,129.0,100.0,No
45,2021-22,California,Shasta,5,3325.0,4644.0,72.0,2333.0,3399.0,69.0,200.0,292.0,68.0,529.0,690.0,77.0,263.0,263.0,100.0,No
