ID,Flu_Season,State,County,Number of Hospitals,HCP_Total_Number_Vaccinated,Total_HCP_Vaccinated,HCP_Percent_Vaccinated,Total_Hospital_Employees_Vaccinated,Total_Hospital_Employees_Working,Emp_Percent_Vaccinated,Total_Number_LIP_Vaccinated,Total_Number_LIP_Working,Lip_Percent_Vaccinated,Total_Number_Contractors_Vaccinated,Total_Number_Contractors_Working,Cont_Percent_Vaccinated,Total_Number_Volunteers_Vaccinated,Total_Number_Volunteers_Working,StudVol_Percent_Vaccinated,Met 90% goal by 2020 (>=90% in 2020-21)
1,2020-21,California,Alameda,15,30214.0,36510.0,83.0,21701.0,26415.0,82.0,6076.0,7281.0,83.0,1351.0,1484.0,91.0,1086.0,1330.0,82.0,No
2,2020-21,California,Amador,1,584.0,751.0,78.0,334.0,438.0,76.0,162.0,197.0,82.0,88.0,116.0,76.0,0.0,0.0,,No
3,2020-21,California,Butte,4,4354.0,8413.0,52.0,3639.0,5684.0,64.0,309.0,578.0,53.0,225.0,727.0,31.0,181.0,1424.0,13.0,No
4,2020-21,California,Calaveras,1,316.0,380.0,83.0,295.0,340.0,87.0,19.0,38.0,50.0,0.0,0.0,,2.0,2.0,100.0,No
5,2020-21,California,Colusa,1,229.0,291.0,79.0,150.0,212.0,71.0,30.0,30.0,100.0,3.0,3.0,100.0,46.0,46.0,100.0,No
6,2020-21,California,Contra Costa,8,16642.0,21827.0,76.0,12499.0,16444.0,76.0,3146.0,3839.0,82.0,310.0,458.0,68.0,687.0,1086.0,63.0,No
7,2020-21,California,Del Norte,1,397.0,564.0,70.0,307.0,439.0,70.0,61.0,86.0,71.0,29.0,39.0,74.0,0.0,0.0,,No
8,2020-21,California,El Dorado,2,2861.0,3345.0,86.0,2205.0,2534.0,87.0,247.0,320.0,77.0,290.0,362.0,80.0,119.0,129.0,92.0,No
9,2020-21,California,Fresno,9,17289.0,20635.0,84.0,12926.0,14436.0,90.0,1923.0,3533.0,54.0,110.0,195.0,56.0,2330.0,2471.0,94.0,No
10,2020-21,California,Glenn,1,,,,,,,,,,,,,,,,
11,2020-21,California,Humboldt,5,2075.0,2915.0,71.0,1657.0,2185.0,76.0,263.0,519.0,51.0,92.0,133.0,69.0,63.0,78.0,81.0,No
12,2020-21,California,Imperial,2,2452.0,3304.0,74.0,1862.0,2522.0,74.0,179.0,358.0,50.0,308.0,321.0,96.0,103.0,103.0,100.0,No
13,2020-21,California,Inyo,2,611.0,690.0,89.0,461.0,528.0,87.0,72.0,76.0,95.0,42.0,49.0,86.0,36.0,37.0,97.0,No
