_id,Influenza_Season,State,CDPH_HAI_HCP_FLU_VACCINATION,County,Mask Mandated by State,Number of Hospitals,HCP_Total_Number_Vaccinated,HCP_Total_Number_Working,HCP_Percent_Vaccinated,Emp_Number_Vaccinated,Emp_Number_Working,Emp_Percent_Vaccinated,Lip_Number_Vaccinated,Lip_Number_Working,Lip_Percent_Vaccinated,Cont_Number_Vaccinated,Cont_Number_Working,Cont_Percent_Vaccinated,StudVol_Number_Vaccinated,StudVol_Number_Working,StudVol_Percent_Vaccinated,Met 90% goal by 2020 (>=90% in 2020-21),Notes
1,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,Yes,15,30214,36510,83,21701,26415,82,6076,7281,83,1351,1484,91,1086,1330,82,No,""
2,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Amador,Yes,1,584,751,78,334,438,76,162,197,82,88,116,76,0,0,,No,""
3,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,Yes,4,4354,8413,52,3639,5684,64,309,578,53,225,727,31,181,1424,13,No,""
4,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Calaveras,Yes,1,316,380,83,295,340,87,19,38,50,0,0,,2,2,100,No,""
5,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Colusa,Yes,1,229,291,79,150,212,71,30,30,100,3,3,100,46,46,100,No,""
6,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Contra Costa,Yes,8,16642,21827,76,12499,16444,76,3146,3839,82,310,458,68,687,1086,63,No,""
7,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Del Norte,Yes,1,397,564,70,307,439,70,61,86,71,29,39,74,0,0,,No,""
8,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",El Dorado,Yes,2,2861,3345,86,2205,2534,87,247,320,77,290,362,80,119,129,92,No,""
9,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Fresno,Yes,9,17289,20635,84,12926,14436,90,1923,3533,54,110,195,56,2330,2471,94,No,""
10,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Glenn,Yes,1,,,,,,,,,,,,,,,,"",Hospitals in this county did not report data
11,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Humboldt,Yes,5,2075,2915,71,1657,2185,76,263,519,51,92,133,69,63,78,81,No,""
12,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Imperial,Yes,2,2452,3304,74,1862,2522,74,179,358,50,308,321,96,103,103,100,No,""
13,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Inyo,Yes,2,611,690,89,461,528,87,72,76,95,42,49,86,36,37,97,No,""
14,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kern,Yes,12,13673,16219,84,9165,10773,85,2399,2796,86,1282,1727,74,827,923,90,No,""
15,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Kings,Yes,1,1782,1934,92,1470,1599,92,312,335,93,0,0,,0,0,,Yes,""
16,2020-21,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Lake,Yes,2,1299,1527,85,1088,1271,86,73,99,74,51,61,84,87,96,91,No,""
